date,count,uniques
2026-06-10,4,1
2026-06-11,34,3
2026-06-12,74,3
2026-06-13,74,3
2026-06-14,85,3
2026-06-15,85,3
2026-06-16,85,3
2026-06-17,87,6
2026-06-18,87,6
2026-06-19,91,6
2026-06-20,93,6
2026-06-21,93,6
2026-06-22,93,6
2026-06-23,93,6
2026-06-24,66,6
2026-06-25,34,7
2026-06-26,79,32
2026-06-27,227,104
2026-06-28,321,138
2026-06-29,342,145
2026-06-30,350,148
2026-07-01,363,153
2026-07-02,397,159
2026-07-03,402,161
2026-07-04,402,162
2026-07-05,417,165
2026-07-06,422,167
2026-07-07,424,168
2026-07-08,435,172
2026-07-09,438,173
2026-07-10,386,150
2026-07-11,244,87
2026-07-12,153,55
2026-07-13,133,50
2026-07-14,125,47
2026-07-15,111,40
2026-07-16,80,32
2026-07-17,71,28
2026-07-18,69,27
2026-07-19,61,26
2026-07-20,56,23
2026-07-21,54,22
2026-07-22,42,19
2026-07-23,38,17
2026-07-24,36,16
2026-07-25,40,15
2026-07-26,33,11
2026-07-27,32,11
2026-07-28,32,11
2026-07-29,90,12
2026-07-30,87,10
2026-07-31,87,10
2026-08-01,90,12
2026-08-02,86,11
2026-08-03,86,11
2026-08-04,86,11
2026-08-05,91,10
2026-08-06,98,10
2026-08-07,99,10
2026-08-08,85,9
2026-08-09,84,9
2026-08-10,84,9
2026-08-11,84,9
2026-08-12,48,8
2026-08-13,50,9
2026-08-14,50,9
2026-08-15,47,9
2026-08-16,47,9
2026-08-17,47,9
2026-08-18,47,9
2026-08-19,42,9
2026-08-20,42,9
